,client,title,pos_review,neg_review,nationality,score,travel_type,room_type,date_review,pos_review_en,neg_review_en
127,Juan,Muy bien,wifi,,España,8.0,En familia,Habitación Cuádruple Deluxe,2022-12-14,WI-FI,
128,Victor,En mente para la próxima,"La habitación, espectacular. Muy cómoda para una familia como la nuestra.",La temperatura. Excesivo calor !!,España,9.0,En familia,Habitación Familiar,2022-12-12,"The room, spectacular. Very comfortable for a family like ours.",The temperature. Excessive heat !!
129,Arantzamr,Cálido y familiar,"La habitación familiar era muy grande y con dos baños. La temperatura de la habitación estupenda, de hecho tuvimos que bajar la temperatura de la misma con el regulador. El desayuno buffet muy bueno y completo.","Entraba un poco de luz exterior de la calle en las esquinas de las cortinas. En general no supone ningún problema, pero a mi marido le gusta dormir completamente a oscuras.",España,9.0,En grupo,Habitación Familiar Deluxe,2022-12-12,"The family room was very large and with two bathrooms. The temperature of the room was great, in fact we had to lower the temperature of the room with the regulator. The breakfast buffet is very good and complete.","There was a little outside light coming in from the street at the corners of the curtains. In general it is not a problem, but my husband likes to sleep completely in the dark."
130,Laura,Fantástico,ubicación y habitación amplia,la espera hasta poder entrar a la habitacion,España,9.0,En familia,Habitación Triple,2022-12-12,location and spacious room,wait until you can enter the room.
131,Salvador,Excepcional,"La ubicación perfecta,la habitación muy grande y cómoda y todo nuevo",,España,10.0,En grupo,Habitación Cuádruple Deluxe,2022-12-12,"The perfect location,the very large and comfortable room and everything new",
132,Ainhoa,Nos sorprendió!!,"La habitación es muy amplia para 4 personas, la nuestra tenía dos lavabos. Las camas son muy cómodas.
La ubicación es buena.
Hicimos media pensión . El desayuno con mucha variedad. La cena era a la carta y todo lo que probamos estaba muy bueno.
El trato del personal muy agradable tanto en recepción como los camareros. 
Seguro que repetimos.",,España,9.0,En familia,Habitación Cuádruple Estándar,2022-12-11,"The room is very spacious for 4 people, ours had two toilets. The beds are very comfortable.
The location is good.
We made half board . Breakfast with a lot of variety. Dinner was a la carte and everything we tried was very good.
The treatment of the staff is very pleasant both in reception and the waiters. 
I'm sure we'll repeat.",
133,Beatriz,Habitaciones amplias para familias de 4,La habitación es muy amplia y cómoda. Está todo muy nuevo. El desayuno muy bien. El personal excepcional.,El parking se llena pronto y te toca aparcar en algún parking público a unas cuantas calles del hotel,España,9.0,En familia,Habitación Cuádruple Deluxe,2022-12-11,The room is very spacious and comfortable. It's all very new. Breakfast is fine. The exceptional staff.,The parking lot is full soon and you have to park in a public parking lot a few blocks from the hotel
134,Nuria,Buena ubicación para venir a trabajar a Andorra.,Céntrico y bien situado.,,España,9.0,Persona que viaja sola,Habitación Individual,2022-12-11,Centrally located and well located.,
135,Jaime,ESTUPENDO,Me ha gustado la ubicación y que las habitaciones cuadruples tengan dos baños y dos estancias. Cogimos media pension y la cena fue estupenda. El desayuno tambien es muy completo. Lo recomiendo 100 X 100.,Quizá faltaba un poco de calefaccion en la habitación pequeña y baños.,España,8.0,En grupo,Habitación Cuádruple Estándar,2022-12-11,I liked the location and that the quadruple rooms have two bathrooms and two rooms. We took half board and dinner was great. The breakfast is also very complete. I recommend 100 x 100.,Maybe some heating was missing in the small room and bathrooms.
136,Alberto,Excepcional,"Camas de niños separadas con su baño.propio
Habitación amplia",,España,10.0,En familia,Habitación Cuádruple Estándar,2022-12-10,"Separate children's beds with their own bathroom.
Spacious room",
137,Mireia,Repetiremos,"Habitación muy amplia y cómoda.
La situación del hotel genial, desayuno muy completo.",Nada,España,10.0,En familia,Habitación Triple,2022-12-10,"Very spacious and comfortable room.
The situation of the hotel great, breakfast very complete.",Nothing
138,Francisco,agradable,"el espacio interior, camas confortables, 2 lavabos independientes, y dos estancias independientes.",un poco antiguo sin reformar,España,8.0,En familia,Habitación Triple,2022-12-10,"the interior space, comfortable beds, 2 independent sinks, and two independent rooms.",a little old without reforming
139,Dani,noche en Andorra,"la habitación grande, cómoda y espaciosa",,España,8.0,En familia,Habitación Cuádruple Estándar,2022-12-09,"the large, comfortable and spacious room",
140,Raquel,Fantástico,El trato del personal hacia mi pequeño y las instalaciones en general.,Tardaban mucho en servir de un primer plato a un segundo en la cena. Pero estaba todo buenisimo👏,España,9.0,En familia,Habitación Cuádruple Deluxe,2022-12-07,The treatment of the staff towards my little one and the facilities in general.,They took a long time to serve from a first course to a second at dinner. But it was all great.👏
141,Sergi,Muy bien,El sitio,El servicio de la cena y su comida,España,8.0,En pareja,Habitación Familiar Deluxe,2022-12-06,The place,Dinner service and your meal
142,Romangarsi,Buen hotel en el centro de Andorra La Vella,"Situación céntrica,  calle tranquila,  habitación amplia, 2 cuartos de baño y cama amplia y muy cómoda,  también las almohadas.","Mucho ruido por las mañanas en las zonas comunes,  sobre todo de las limpiadoras de las habitaciones.",España,9.0,En familia,Habitación Cuádruple Deluxe,2022-12-06,"Centrally located, quiet street, spacious room, 2 bathrooms and spacious and very comfortable bed,  also pillows.","A lot of noise in the mornings in the common areas,  especially from the room cleaners."
143,Luis,Excepcional,cama,plazas justas parking,España,10.0,En familia,Habitación Doble Deluxe,2022-12-05,bed,fair parking spaces
144,Pepi,Fantástico,Habitaciones amplias y buena ubicación,"Las literas son pequeñas. Con lo grande que es, la habitación cabría otra cama doble",España,9.0,En familia,Habitación Cuádruple Estándar,2022-12-05,Spacious rooms and good location,"The bunk beds are small. With how big it is, the room would fit another double bed"
145,Alejandra,Adecuado,Buena ubicación y habitaciones muy grandes,Iluminación muy escasa y limpieza deficiente. Habitación llena de polvo.,España,8.0,En pareja,Habitación Doble - 1 o 2 camas,2022-12-04,Good location and very large rooms,Very poor lighting and poor cleaning. Room full of dust.
146,Balinero,Muy bien,"Personal en recepción y buffet desayuno correcto.
Ubicación muy buena, a 5-10 min a pie de Caldea.
Desayuno buffet variado.
2a habitacion amplia, no esperabamos tanto espacio. 
Habian 2 baños en lugar de 1 como creíamos.","Era una habitacion doble, las camas de la 1a estaban pegadas a la pared que daba al rellano. Al ser 1a planta y no haber pasillo se oía TODO el ruido procedente de recepción. 
Para ser un 4* que el ""gel"" de duchar sea una pastilla es algo extraño, en lugar de en botellitas como el champú.
A ratos faltaban cosas en el desayuno (minidonuts, jamon serrano), algo lentos en reponer.
La mampara de la bañera era insuficiente para evitar que cayera agua fuera.
Tv pequeña para lo q es el estandar de un hotel de 4*.",España,8.0,En familia,Habitación Cuádruple Estándar,2022-12-01,"Staff at reception and breakfast buffet correct.
Very good location, 5-10 min walk from Caldea.
Varied buffet breakfast.
2nd room spacious, we did not expect so much space. 
There were 2 bathrooms instead of 1 as we thought.",QUERY LENGTH LIMIT EXCEEDED. MAX ALLOWED QUERY : 500 CHARS
147,Beltrán,100% recomendable,"limpieza,ubicación, comodidad, amplitud , desayuno excelente",todo genial,España,10.0,En familia,Habitación Triple,2022-12-01,"cleanliness,location, comfort, spaciousness , excellent breakfast",Everything great.
148,Jonsgolden,Hotel muy por encima de las expectativas,"Muy buena opción si quieres estar cerca de Caldea. El hotel ofrece la opción de media pensión que sin duda, fue la mejor decisión de todo el viaje. La cena del restaurante fue espectacular y superó todas nuestras expectativas. Las habitaciones eran muy espaciosas y tenían dos zonas divididas, ideal para separar las estancias.","En general todo estuvo genial, pero si hay que sacar una pega... había poca opción vegetariana para la cena - como en general en todo Andorra - pero los camareros se ofrecieron a cocinar algo fuera de la carta y lo valoramos muy positivamente.",España,9.0,En grupo,Habitación Cuádruple Estándar,2022-11-27,"Very good option if you want to be near Caldea. The hotel offers the option of half board which was undoubtedly the best decision of the whole trip. The restaurant dinner was spectacular and exceeded all our expectations. The rooms were very spacious and had two divided areas, ideal for separating the rooms.","In general everything was great, but if you have to take a stick... there was little vegetarian option for dinner - as in general throughout Andorra - but the waiters offered to cook something off the menu and we valued it very positively."
149,Fouad,Muy recomendable,Muy bien,Nada todo bien,Marruecos,9.0,En familia,Habitación Familiar,2022-11-26,Very good,"Nothing, everything is okay "
150,Gloria,Fantástico,Los empleados excelente super amables y sinpaticos,En realidad nada ni,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2022-11-26,Excellent employees super friendly and sympathetic,Really nothing.
151,Lili,muy limpio el personal muy amable,todo,me gusto todo,España,10.0,En familia,Habitación Triple,2022-11-25,everything,I liked it all
152,Lili,hotel muy limpio y muy amables el personal,todo,me gusto todo,España,10.0,En familia,Habitación Triple,2022-11-25,everything,I liked it all
153,David,Excepcional,"El personal a la hora de ser atendidos en recepción y la gran amabilidad de la chica que nos atendió a la hora del desayuno, muchas gracias por todo",,España,10.0,En familia,Habitación Triple,2022-11-22,"The staff at the time of being attended at reception and the great kindness of the girl who attended us at breakfast time, thank you very much for everything",
154,Mónica,comodidad con amigas,"trato excelente, ubicación céntrica, amplitud habitación",nada,España,10.0,En grupo,Habitación Cuádruple Estándar,2022-11-21,"excellent service, central location, spacious room",nothing
155,Sara,Ideal para familias,"Nos asignaron un lujo de habitación, dos espacios separados por una puerta y cada uno con su baño, ideal para ir en familia. Las camas son muy cómodas y el desayuno muy rico. El personal es extremadamente amable. El parking estaba completo pero gracias a los consejos de recepción pudimos aparcar en zona azul sin problema, el domingo no se paga. La situación ideal para ir a Caldea y la zona de compras, justo al lado.",La única pega fue la cuna. Solo tenia una sábana y sin manta el bebé pasó frio. Las barandas eran demasiado altas y subirlas y bajarlas ademas de complicado era ruidoso. Acabó durmiendo en la cama con nosotros.,España,9.0,En familia,Habitación Triple,2022-11-21,"We were assigned a luxury room, two spaces separated by a door and each with its bathroom, ideal to go with the family. The beds are very comfortable and the breakfast very rich. The staff is extremely friendly. The parking was complete but thanks to the reception tips we were able to park in the blue zone without problem, Sunday is not paid. The ideal situation to go to Caldea and the shopping area, right next door.",The only drawback was the cradle. I only had a sheet and without a blanket the baby went cold. The railings were too high and raising and lowering them was noisy. He ended up sleeping in bed with us.
156,Inma,calidad-tranquilidad-confort-buena gastronomía,"UBICACION, TAMAÑO Y DISTRIBUCION DE LA HABITACION,DESAYUNO Y RESTAURANTE","no haber conseguido plaza de parking, pero fueron muy amables indicándonos donde quedaba el parking más proximo.",España,9.0,En familia,Habitación Triple,2022-11-21,"LOCATION, SIZE AND DISTRIBUTION OF THE ROOM,BREAKFAST AND RESTAURANT","we didn't get a parking space, but they were very kind to tell us where the nearest car park was."
157,Judit,Perfecto Hotel,"La habitación espaciosa, limpia y bien decorada.",Para poner una pega.. las vistas de la habitación.. tenía un edificio a pocos metros.,España,10.0,En grupo,Habitación Doble Deluxe,2022-11-20,"The room is spacious, clean and well decorated.",To put a stick.. the views of the room.. I had a building a few meters away.
158,Luis,una estancia perfecta,todo,,España,9.0,Persona que viaja sola,Habitación Doble - 1 o 2 camas,2022-11-19,everything,
159,Francisco,Excepcional,Todo nuevo y acogedor ... el personal super amables ...,,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-11-18,All new and welcoming ... super friendly staff...,
160,Sergbene,Fantástico,La habitación amplisima.,"La ubicación.  Sin estar apartado del centro, no está en el mismo centro.",España,9.0,Persona que viaja sola,Habitación Doble - 1 o 2 camas,2022-11-18,The room is very spacious.,"The location.  Without being away from the center, it is not in the same center."
161,Fco,Fantástico,La atención del personal,,España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2022-11-17,Attentiveness of Staff,
162,Sergio1975,Excepcional,"ubicación, desayuno, comodidad de las camas, limpieza.","parking estaba lleno, tuvimos que dejar el coche en otro parking más lejos.",España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-11-16,"location, breakfast, bed comforts, cleaning.","parking was full, we had to leave the car in another parking lot further away."
163,Luis,"Muy recomendable, repetiría sin duda.","Check in rápido 
Una habitación muy amplia y cómoda, con todo lo necesario para que se vea recogido el equipaje y la ropa. Armarios empotrados abiertos con muy buena iluminación. Los baños (habían 2 en mi habitación) realmente cuidados; limpios. 
Volviendo a la habitación, muy limpia y cuidada al detalle.","La única pega que puedo ponerle es que hacía mucho calor en la habitación durante la tarde y no se podía controlar como nos dijeron en recepción. Debo decir también que fue un día de calor en donde en realidad se esperaba frio. 
Ascensores. a pesar de haber 3 solo funcionaba 1 y a la hora de hacer check out tardamos en poder bajar debido a la afluencia alta de gente que se iba también.",España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-11-15,"A very 
spacious and comfortable room, with everything necessary for luggage and clothing to be collected. Open fitted wardrobes with very good lighting. The bathrooms (there were 2 in my room) really looked after; clean. 
Returning to the room, very clean and careful of detail.","The only catch I can make is that it was very hot in the room during the afternoon and could not be controlled as we were told at reception. I must also say that it was a hot day where it was actually expected cold. 
Although there were 3, only 1 worked and at the time of checking out we were late in being able to go down due to the high influx of people who left as well."
164,Marcos,"estancia muy agradable, muy buena atención de todo el personal y la comida y desayuno excelentes",Habitación muy amplia y perfecta,,España,10.0,En pareja,Habitación Doble Deluxe,2022-11-14,Very spacious and perfect room,
165,Montse,perfecto!! te encuentras muy a gusto!!,"todo!!! el personal, la habitacion, el desayuno y la cena!! un 10!!",,España,10.0,En familia,Habitación Triple,2022-11-12,"everything!!! the staff, the room, breakfast and dinner!! a 10!!",
166,Alicia,Ha ido todo bien y estamos encantados!!,"Esta vez esta todo bien, el baño no olia tabaco como en la habitación 505.",El desayuno hay poca variedad. la cisterna de los 2 baños hacen ruidos despues de tirar el agua.,España,10.0,En familia,Habitación Triple,2022-11-12,"This time everything is fine, the bathroom did not smell tobacco like in room 505.",The cistern of the 2 bathrooms make noises after throwing the water.
167,Zambrano,100% recomendado,Excelente atención y tiene muy buena ubicación.,"El wifi no iba muy bien, y la tv tiene poca opción de canales…",España,9.0,En pareja,Habitación Doble - 1 o 2 camas,2022-11-10,Excellent service and has a very good location.,"The wifi was not going very well, and the TV has little choice of channels…"
168,Marta,"Cómodo, práctico y con gran ubicación","Ubicación a un paso de la avenida comercial y a 5 minutos andando a Caldea, en una calle tranquila. La habitación Deluxe muy cómoda, sobretodo las camas. Las toallas y sábanas de calidad. La restauración también merece una buena reseña, el desayuno muy completo y la bollería acertada. Los platos de la cena, aunque no son de buffet los sirven en la mesa muy elaborados.",Que no hubiese plazas disponibles de parking. Lo aparcamos en parking público descubierto a 4 minutos andando.,España,9.0,En familia,Habitación Cuádruple Deluxe,2022-11-08,"Location one step away from the commercial avenue and 5 minutes walk to Caldea, in a quiet street. The Deluxe room is very comfortable, especially the beds. Quality towels and sheets. The restoration also deserves a good review, the breakfast very complete and the good pastries. The dinner dishes, although not buffet, are served at the table very elaborate.",There were no parking spaces available. We park it in uncovered public parking 4 minutes walk.
169,Jose,Escapada genial,El hotel está genial. Un diez para la recepción y sobre todo para los chicos del restaurante. Las habitaciones son espectaculares.,"Las plazas de parking son escasas. La zona de carga y descarga estaba ocupada y la policía quería multarnos con 500 € por parar encima de la acera. Deberían cuidar un poco más el turismo. No obstante, este es un tema externo al hotel.",España,10.0,En grupo,Habitación Cuádruple Estándar,2022-11-07,The hotel is great. A ten for the reception and especially for the guys at the restaurant. The rooms are spectacular.,"Parking spaces are scarce. The loading and unloading area was busy and the police wanted to fine us €500 for stopping on the sidewalk. They should take a little more care of tourism. However, this is an issue external to the hotel."
170,Jennifer,Excepcional,"Todo estaba genial, lo que no me esperaba es tener algo de picar y de beber como bienvenida",No vi nada que no me gustara,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-11-07,"Everything was great, what I did not expect is to have something to eat and drink as a welcome",I didn't see anything that I didn't like
171,Agata,Fin de semana genial!,Habitaciones amplias y comidas excelentes.,Que el parquing estuviera completo.,España,10.0,En familia,Habitación Cuádruple Estándar,2022-11-06,Spacious rooms and excellent meals.,That the parking lot was complete.
172,Miguel,Paseo y compras,"La habitación, por primera vez tuvimos un upgradeen booking.
Nos dieron una habitación familiar con 2 baños y 2 TV. Lástima que sólo fuimos la pareja.
Personal muy amable","El hotel muy bien.  Pero Andorra es un pequeño caos circulatorio por la obras que están haciendo. Además te dejas un pasta en los parking,  No hay ninguno gratuito, algunos la primera media hora gratis",España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-11-06,"The room, for the first time we had an upgradeen booking.
We were given a family room with 2 bathrooms and 2 TVs. Too bad we were just the couple.
Very friendly staff","The hotel is very good.  But Andorra is a small circulatory chaos because of the works they are doing. In addition you leave a paste in the parking lots,  There is none free, some the first half hour free"
173,Eva,Excepcional,"Nos asignaron una habitación que olía muchísimo a tabaco y fuimos a recepción,no hubo problema en darnos una nueva,genial.","Se debería poder entrar antes,pienso que en todos los hoteles ,no solo en este debería poder accederse a la habitación a la 13 ,para poder dejar las cosas descansar antes de ir a comer.",España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-11-05,"They assigned us a room that smelled a lot of tobacco and we went to reception, there was no problem in giving us a new,great one.","You should be able to enter earlier,I think that in all hotels ,not only in this one should be able to access the room at 13 ,to be able to let things rest before going to eat."
174,David,Excepcional,La habitación muy grande y espaciosa,,España,10.0,En familia,Habitación Triple,2022-11-05,The very large and spacious room,
175,Ana,Excepcional,"La habitación super amplia, el desayuno muy bueno y variado",El parquin estaba lleno y no se puede reservar con antelación,España,10.0,En familia,Habitación Familiar,2022-11-04,"Super spacious room, very good and varied breakfast",The car park was full and cannot be booked in advance
176,Samantha,Muy bien,El tamaño de la habitación y su ubicación.,"Las obras que habían en el hotel, empezaban a las 8 de la mañana a taladrar y etc ...",España,8.0,En pareja,Habitación Doble Deluxe,2022-11-03,The size of the room and its location.,"The works that were in the hotel, began at 8 in the morning to drill and etc ..."
177,Roser,Muy bien,Habitación grande y cama comoda,,España,8.0,En pareja,Habitación Doble - 1 o 2 camas,2022-11-03,Large room and comfortable bed,
178,Lucindo,fenomenal,la habitación,el parking un poco estrecho para coches grandes,España,9.0,En familia,Habitación Triple,2022-11-02,"He’s working, I think.",the parking a little narrow for large cars
179,Inmaculada,habitación familiar muy amplia con dos baños.Desayuno buffet muy completo y cena con platos a elegir cocina gourmet deli,ubicación y comida,que no se pudiera reservar parking con antelación,España,10.0,En familia,Habitación Cuádruple Deluxe,2022-11-01,location and food,that parking could not be booked in advance
180,Sonia,Excepcional,"La recepcionista que nos hizo el checkin era fantástica, la habitación una maravilla, todo perfecto",Que la TV no tuviera chromecast,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-11-01,"The receptionist who checked us in was fantastic, the room was wonderful, everything was perfect",That the TV didn't have chromecast
181,Silvia,Estancia en familia muy buena y agradable.,Las habitaciones son grandes y cómodas para ir con niños. También la ubicación es excepcional ya que no es necesario coger el coche para ir de compras o comer/cenar. El personal muy amable y complaciente en todo momento.,Lo que no me gusta es que los rellanos de las plantas son grandes y con un hueco central que comunica con el resto de plantas y por tanto se escuchan todos los ruidos de todas las plantas y hace eco.,España,9.0,En familia,Habitación Cuádruple Deluxe,2022-11-01,The rooms are large and comfortable to go with children. Also the location is exceptional since it is not necessary to take the car to go shopping or eat/dine. Very friendly and accommodating staff at all times.,What I do not like is that the landings of the plants are large and with a central gap that communicates with the rest of the plants and therefore all the noises of all the plants are heard and echoes.
182,Pedro,buena ubicación. Muy buen desayuno habitación amplia,"amplitud habitacion
muy buen desayuno
muy limpio",nada,España,10.0,En familia,Habitación Cuádruple Estándar,2022-10-31,"spacious room
very good breakfast
very clean",nothing
183,Noe,Excepcional,"Ubicación, personal, desayuno",Nada,España,10.0,En familia,Habitación Cuádruple Estándar,2022-10-31,"Location, staff, breakfast",Nothing
184,Mihaela,Excepcional,Estupendo todo,No habia aparcamiento,España,10.0,En familia,Habitación Cuádruple Deluxe,2022-10-31,Great everything,There was no parking
185,M,Fantástico,"La ubicación, la habitación y el desayuno.",,España,9.0,En familia,Habitación Cuádruple Estándar,2022-10-30,"The location, the room and breakfast.",
186,Jaume,genial,limpieza y ubicacion,nada,España,10.0,En pareja,Habitación Doble Deluxe,2022-10-25,cleanliness and location,nothing
187,Laia,Excepcional,"es muy grande, espacioso y super equipado",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-10-24,"is very large, spacious and super equipped",
188,Maria,Muy buena ubicacion,"El Restaurante porque no es el típico de bufete   son platos muy bien elaborados , los postres buenísimos",Que no hubiese plaza de parking,España,8.0,En pareja,Habitación Doble Deluxe,2022-10-22,"The Restaurant because it is not typical of the firm   are very well prepared dishes, the desserts are very good",There was no parking space
189,Gonzalo,HOTEL PERFECTO PARA VISITAR CENTRO DE ANDORRA,"DESAYUNO MUY BUENO, UBICACION EXCELENTE",AIRE ACONDICIONADO,España,9.0,En grupo,Habitación Doble - 1 o 2 camas,2022-10-19,"VERY GOOD BREAKFAST, EXCELLENT LOCATION",AIR CONDITIONING
190,Jordi,Una estancia perfecta,Un hotel perfecto para la estancia en Andorra. El personal es muy amable y el desayuno y el restaurante estan muy bien. las habitaciones son muy amplias,,España,10.0,En grupo,Habitación Triple,2022-10-17,A perfect hotel for your stay in Andorra. The staff is very friendly and the breakfast and restaurant are very good. The rooms are very spacious,
191,Eva,"Céntrico, cómodo y económico",La habitación familiar es muy grande y cómoda. Tiene habitación de matrimonio grande y una pequeña habitación con litera en la entrada para los niños. Además tiene 2 baños.,Me gusto todo. Seguro que repito.,España,8.0,En familia,Habitación Doble Deluxe,2022-10-17,The family room is very large and comfortable. It has a large double room and a small bedroom with bunk bed at the entrance for children. It also has 2 bathrooms.,I like everything. I'm sure I'll repeat.
192,Carla,Todo perfecto!,"Nos dieron una habitación superior por disponibilidad; muy buena ubicación y desayuno muy correcto. 
Habitación muy amplia","La cama un poco dura, pero esto es cuestion de gustos!",España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-10-16,"We were given a superior room for availability; very good location and very correct breakfast. 
Very spacious room","The bed is a bit hard, but this is a matter of taste!"
193,Rocío,Fin de semana de compras y naturaleza,La habitación muy grande y espaciosa. la cama súper amplia y muy cómoda.,"No es que no me gustara, pero, en comparación, el baño resultaba pequeño respecto al tamaño de la habitación.",España,9.0,En pareja,Habitación Doble Deluxe,2022-10-13,The room very large and spacious. the bed super spacious and very comfortable.,"Not that I didn't like it, but by comparison, the bathroom was small relative to the size of the room."
194,Maribel,muy amables y habitaciones amplias y cómodas,si,,España,10.0,En familia,Habitación Cuádruple Deluxe,2022-10-13,yes,
195,Ana,Bien,Cómodo y bien ubicado. Estaba todo muy limpio y el personal fue amable.,"Lo escogimos porque tenia parking y viajábamos con el coche lleno. al llegar allí nos dijeron que estaba ocupado por operarios, y nos indicaron que podíamos dejarlo en otro parking que estaba al aire libre.",España,9.0,En familia,Habitación Cuádruple Estándar,2022-10-13,Comfortable and well located. Everything was very clean and the staff was friendly.,"We chose it because it had parking and we were traveling with the car full. when we arrived there we were told that it was occupied by operators, and they indicated that we could leave it in another parking lot that was outdoors."
196,Angeles,Muy bien,El desayuno un poco flojo,,España,8.0,En pareja,Habitación Doble Deluxe,2022-10-13,Breakfast is a bit lazy.,
197,Ariadna,Cualidad precio muy bien,La habitación muy grande y comoda.,,España,10.0,En pareja,Habitación Doble Deluxe,2022-10-10,The room is very large and comfortable.,
198,Igor,Muy bien,La ubicación es excelente y el personal fue muy atento. La habitación familiar es perfecta para familias de 4 personas con adolescentes o niños.,"Solo funcionaba 1 de los 2 ascensores. El restaurante era muy lento en las cenas, demasiado lento. Estaría bien saber que la cena no es de tipo buffet, sino a la carta.",España,8.0,En familia,Habitación Cuádruple Estándar,2022-10-10,The location is excellent and the staff was very attentive. The family room is perfect for families of 4 with teenagers or children.,"Only one of the two elevators worked. The restaurant was too slow at dinner, too slow. It would be nice to know that dinner is not buffet type, but à la carte."
199,Gemma,Con ganas de repetir,"Lo céntrico que estaba, el personal",Solo había un ascensor porqué estaba uno de mantenimiento y creo que no fue buena hora cuando los huéspedes marchan hacer ese tipo de trabajos,España,10.0,En grupo,Habitación Triple,2022-10-10,"How central it was, the staff",There was only one elevator because there was a maintenance one and I think it was not a good time when guests leave to do that kind of work
200,Jose,Excepcional,Todo en general,,España,10.0,En grupo,Habitación Triple,2022-10-10,"Everything, in general. ",
201,Morales,Excepcional,Todo,Nada,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-10-10,All,Nothing
202,Cristina,fabulosa,el ser una suite familiar pero con independencia de dormitorio y dos wc,"solo encontre a faltar mas variedad en canales de tv, faltaban muchos de los habituales",España,9.0,En familia,Habitación Familiar Deluxe,2022-10-09,being a family suite but regardless of bedroom and two toilets,"i only found more variety missing on TV channels, many of the usual"
203,Ruth,Fantástico,La ubicación es inmejorable,Pasamos algo de calor por la noche en la habitación,España,9.0,En grupo,Habitación Cuádruple Deluxe,2022-10-09,The location is unbeatable.,We spent some heat at night in the room
204,Carla,Excepcional,"Habitación espectacular, limpia y cómoda.",,España,10.0,En pareja,Habitación Doble Deluxe,2022-10-08,"Spectacular, clean and comfortable room.",
205,Laura,Escapada de fin de semana,"Habitación muy amplia, éramos dos adultos y dos niños , la habitación que nos dieron era para 6 personas ,con dos baños ... camas muy cómodas , Netflix, la ubicación también es muy buena.",Nos gusto todo en general .,España,9.0,En familia,Habitación Triple,2022-10-07,"Very spacious room, we were two adults and two children , the room they gave us was for 6 people ,with two bathrooms ... very comfortable beds, Netflix, the location is also very good.",I like everything in general .
206,Lorena,Excepcional,"La ubicación, es inmejorable",Solo funcionaba un ascensor,España,10.0,En familia,Habitación Triple,2022-10-07,The location is unbeatable.,There was only one elevator.
207,Alfredo,Buen hotel,"La ubicación.
Habitación grande.
Parking para las motos.
Buena comunicación en recepción.","Nada, todo bien",España,9.0,En grupo,Habitación Individual,2022-10-07,"The location.
Large room.
Parking for motorcycles.
Good communication at reception.","Nothing, everything is okay "
208,Ana,"Muy recomendable, para repetir",El desayuno muy bueno y variado. Todo el personal muy amable y la habitación muy espaciosa. También estaba muy bien ubicado.,El desagüe de uno de los baños no tragaba bien.,España,9.0,En grupo,Habitación Cuádruple Estándar,2022-10-06,The breakfast is very good and varied. All staff very friendly and the room very spacious. It was also very well located.,The drain of one of the bathrooms did not swallow well.
209,Marti,GENIAL...!!!,"Todo ha sido excelente, desde el check-in hasta finalizar con el check-out...
Enhorabuena a todo el personal que hace posible dia a dia que todo funcione corrctamente.",,España,10.0,En pareja,Habitación Doble - 1 o 2 camas,2022-10-05,"Everything has been excellent, from check-in to check-out...
Congratulations to all the staff who make it possible day by day that everything works correctly.",
210,Xita,Excepcional,La amplitud de la habitacion,"En general esta muy bien, comodo , limpio, muy bien situado",España,10.0,En grupo,Habitación Doble - 1 o 2 camas,2022-10-04,The amplitude of the room,"Overall it is very good, comfortable , clean, very well located"
211,Jose,Fantástico,"El conjunto es muy bueno. Y la restauración merece mencion aparte, nada que ver con el típico bufet libre de otros hoteles. Contraté media pensión  y todo excelente, buena cena con muchos platos para elegir y abundantes.
Personal de recepción muy amable y profesional
Muy bien ubicado cerca de el centro comercial por excelencia.
El wifi muy bueno","Si puedo dar con algo, el edredón de las camas demasiado grueso para el tiempo que hemos disfrutado. Es cierto que si lo hubiera comentado con el personal de habitaciones lo hubieran solucionado.  Mea culpa!",España,9.0,En pareja,Habitación Doble Deluxe,2022-10-03,"The set is very good. And the restoration deserves mention apart, nothing to do with the typical free buffet of other hotels. I hired half board  and everything excellent, good dinner with many dishes to choose from and plentiful.
Very friendly and professional reception staff
Very well located near the shopping center par excellence.
The very good wifi","If I can come up with anything, the duvet beds too thick for the time we've enjoyed. It is true that if I had discussed it with the room staff they would have solved it.  Mea culpa!"
