client,nationality,title,pos_review,pos_review_en,pos_compound,pos_comp_score,len_pos_review,neg_review,neg_review_en,neg_compound,neg_comp_score,len_neg_review,date_review,year_review,month_review,score,score_2,travel_type,room_type
Mireiave,España,Experiencia muy buena,"La habitación era enorme,tenía a la entrada una entradita con las literas,una mesa,TV y un baño después abrías la otra puerta y estaba el pasillo con un vestidor enorme con un baño grande y entrabas a la habitación bastante amplia con sofá,la cama de matrimonio y una TV plana grande.
Las instalaciones muy bien y el personal muy agradable y atentos.","The room was huge, it had at the entrance a small entrance with bunk beds,a table,TV and a bathroom then you opened the other door and there was the hallway with a huge dressing room with a large bathroom and you entered the room quite spacious with sofa,the double bed and a large flat TV.
The facilities very well and the staff very nice and attentive.",0.8437,positive,350,,,,,0,2022-09-08,2022,9,10.0,Wonderful,En familia,Habitación Triple
Roberto,España,"Muy recomendable, Hemos repetido","La habitación impresionante,  dos estancias separadas con puerta,, una con literas, TV y baño completo, ideal para los niños y la otra estancia super grande en general incluida la TV. 65 pulgadas. Perfecta., El desayuno perfecto.","The impressive room,  two separate rooms with door,, one with bunk beds, TV and full bathroom, ideal for children and the other room super large in general including the TV. 65 inches. Perfect. The perfect breakfast.",0.9584,positive,229,Todo Ok de 10,All Ok of 10,0.296,positive,13,2022-09-08,2022,9,10.0,Wonderful,En grupo,Habitación Triple
Carolina,España,"Excelente estancia, buena calidad de la comida",Una hab para tres enorme. Una litera separada de la cama de matrimonio. Dos baños. Habitaciones totalmente independientes sin estar separadas. Una maravilla,A huge hab for three. A separate bunk from the double bed. Two bathrooms. Totally independent rooms without being separated. A wonder,0.3182,positive,156,Los muebles estaban un poco viejos y desgastados,The furniture was a bit old and worn.,-0.296,negative,48,2022-09-06,2022,9,10.0,Wonderful,En familia,Habitación Triple
Francesc,España,Fantástico,"Hotel muy bien ubicado. Habitacion grande con camas cómodas.
La cena espectacular. Los platos que comimos eran excelentes. Servicio muy amable.","Very well located hotel. Large room with comfortable beds.
Spectacular dinner. The dishes we ate were excellent. Very friendly service.",0.9167,positive,143,El mobiliario de la habitacion antiguo.,The furniture of the old room.,0.0,neutral,39,2022-09-05,2022,9,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Jaume,España,Muy bien,"Ubicación, está muy cerca de la calle comercial.","Location, it is very close to the shopping street.",0.0,neutral,48,"Las habitaciones empiezan a tener desgaste, puertas de lavabos, muebles, parket, goma del cristal de la ducha, etc, no es importante pero algun dia hay que renovarlo.","The rooms begin to have wear and tear, sink doors, furniture, parquet, shower glass rubber, etc., it is not important but one day you have to renovate it.",-0.0762,neutral,166,2022-09-05,2022,9,8.0,Good,En familia,Habitación Triple
Ciberweb,España,Excepcional,La ubicación,Location,0.0,neutral,12,,,,,0,2022-09-05,2022,9,10.0,Wonderful,En pareja,Habitación Triple
Nath,España,Muy buena ubicación y excelente relación calidad/precio,"La habitación es muy grande y hay dos estancias una para los niños con literas y otra con una cama de matrimonio. Hay 2 baños con ducha que es muy práctico cuando se está con la familia 
Hay un parking comunal al lado que está bien de precio y el hotel súper céntrico.","The room is very large and there are two rooms one for children with bunk beds and another with a double bed. There are 2 bathrooms with shower that is very practical when you are with the family 
There is a communal car park next door which is well priced and the hotel super central.",0.7184,positive,268,La parte de las literas es un poco pequeña en comparación con la parte de la cama de matrimonio que es súper amplia,The bunk beds part is a bit small compared to the double bed part which is super wide,0.5994,positive,115,2022-09-04,2022,9,8.0,Good,En familia,Habitación Cuádruple Deluxe
Pe,España,Habitación muy amplia,"La amplitud y la remodelación de la habitación
Personal de recepción de tarde y personal de desayunos muy agradables y atentos.
Personal de limpieza genial, le dejamos nota de agradecimiento e incentivo ;)","The spaciousness and remodeling of the room
Afternoon reception staff and very nice and attentive breakfast staff.
Great cleaning staff, we leave you note of thanks and incentive ;)",0.923,positive,205,Nada,Nothing,0.0,neutral,4,2022-09-04,2022,9,8.0,Good,En pareja,Habitación Doble Deluxe
Fernando,España,Perfecto para visitar Andorra,"La habitacion para 3-4 muy grande y con dos baños.
Sorprendetemente silenciosa.
El desayuno bien surtido. En el restaurante hay muy buen servicio y se come de lujo.","The room for 3-4 very large and with two bathrooms.
Surprisingly quiet.
The breakfast well stocked. In the restaurant there is very good service and luxury food.",0.7574,positive,164,"No hay opciones vegetarianas en el restaurante, todo tiene carne o pescado.
El parking completo y hay que buscarse la vida.
El wifi casi no llega al primer piso","There are no vegetarian options in the restaurant, everything has meat or fish.
Complete parking and you have to look for life.
Wifi hardly reaches the first floor",-0.3167,negative,160,2022-09-04,2022,9,9.0,Wonderful,En familia,Habitación Triple
Davidsd,España,Genial,Era la segunda ocasión que nos hospedábamos en éste hotel y no ha defraudado. Incluso nos dieron una habitación de lujo.,It was the second time we stayed at this hotel and it has not disappointed. They even gave us a luxurious room.,0.3724,positive,120,,,,,0,2022-09-03,2022,9,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Esperanza,España,personal muy amable,la amabilidad del personal y la amplitud de la habitación familiar,the friendliness of the staff and the spaciousness of the family room,0.4588,positive,66,"por decir algo, las camas de los niños no son tan cómodas como las de los adultos","to say the least, children's beds are not as comfortable as those of adults.",-0.4023,negative,81,2022-09-03,2022,9,10.0,Wonderful,En familia,Habitación Triple
Alejandro,España,Muy bien,La habitación,The bedroom,0.0,neutral,13,Que ya no va incluido el desayuno en el precio,Breakfast is no longer included in the price.,-0.296,negative,46,2022-09-03,2022,9,8.0,Good,En grupo,Habitación Doble - 1 o 2 camas
Eva,España,Fantástico,La habitación que era muy grande.,The room that was too big.,0.0,neutral,33,Los muebles y las puertas estaban en mal estado,The furniture and doors were in poor condition.,-0.4767,negative,47,2022-09-03,2022,9,9.0,Wonderful,En pareja,Habitación Triple
Miguel,España,Excepcional,"Llegamos sobre las 21 horas. No tenían aparcamiento y la Sta. Erika, nos lo resolviero. Los colchones muy cómodos. Los empleados de la mañana del comedor muy atentos, en especial la señora con gafas con los adultos y más con los niños. Limpio y muy bien ubicado (detrás del Hotel la Avd. Meritxell). Repetiremos. Un placer.","We arrived around 9 p.m. They didn't have a parking lot, and Miss Erika, we'll figure it out. Very comfortable mattresses. The morning employees of the dining room very attentive, especially the lady with glasses with adults and more with children. Clean and very well located (behind the Hotel Avd. Meritxell). We will repeat. A pleasure.",0.9011,positive,323,Todo perfecto.,Everything is perfect. ,0.5719,positive,14,2022-09-02,2022,9,10.0,Wonderful,En familia,Habitación Cuádruple Estándar
Juan,España,"Repetiremos en este hotel, seguro.","La ubicación es excepcional, está muy cerca de la calle comercial.
La comida tiene buena presentación, y está realmente buena.
El aparcamiento es algo justo, pero es un lujo tenerlo en el hotel, sin tener que salir al exterior.
La habitación que nos dieron, era expectacular, un encanto.","The location is exceptional, it is very close to the shopping street.
The food looks good, and it's really good.
Parking is a fair thing, but it is a luxury to have it in the hotel, without having to go outside.
The room they gave us, it was unexpected, a charm.",0.7964,positive,287,"Nada, todo correcto.","Nada, todo muy correcto.",0.0,neutral,20,2022-09-01,2022,9,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Carla,España,Perfecto,La ubicación y la relación calidad-precio,Location and value for money,0.34,positive,41,,,,,0,2022-09-01,2022,9,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Miguel,España,Nos encantó el hotel. Muchas gracias.,"habitaciones muy espaciosas, modernas y colchones confortables.","very spacious, modern rooms and comfortable mattresses.",0.5106,positive,63,"Hubiera agradecido algún tipo de oferta para desayunar en el propio hotel, pero 4 personas a 12,5€ durante 6 desayunos se nos iba a 300€. no obstante, muy cerca hay cafeterías muy agradables en donde hacerlo por un tercio.","I would have appreciated some kind of breakfast offer in the hotel itself, but 4 people at 12.5€ for 6 breakfasts we were going to 300€. However, very close there are very nice cafes where you can do it for a third.",0.7422,positive,222,2022-09-01,2022,9,10.0,Wonderful,En familia,Habitación Cuádruple Estándar
Mario,España,Escapada como un fin de semana,Calidad precio genial los desayunos y cenas espectacular,Great price quality breakfasts and dinners spectacular,0.6249,positive,56,,,,,0,2022-08-31,2022,8,10.0,Wonderful,En familia,Habitación Triple
Karen,España,Excepcional,"La habitación que nos cedieron era enorme con unos ventanales nos encantó, el desayuno también muy rico la estancia fue agradable volvería a repetir sin duda!","The room we were given was huge with some windows we loved, the breakfast was also very rich the stay was pleasant would repeat without a doubt!",0.9413,positive,158,Nada que decir al respecto,Nothing to say about it,0.0,neutral,26,2022-08-30,2022,8,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Martín,España,Hotel  muy agradable y tranquilo,"Segunda vez que nos alojamos en este hotel 
Ubicación genial
Personal amable 
Habitaciones grandes y limpias
Hotel familiar y tranquilo","Second time we stayed at this hotel 
Great location
Friendly staff 
Large, clean rooms
Quiet family hotel",0.875,positive,135,,,,,0,2022-08-30,2022,8,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Javier,España,Fantástico,Lo espaciosa que era la habitación y la comodidad de la misma.,How spacious the room was and the comfort of it.,0.3612,positive,62,La selección y preparación del menú de la cena puede ser mejor.,The selection and preparation of the dinner menu may be better.,0.4404,positive,63,2022-08-29,2022,8,9.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
M,España,Excepcional,El trato recibido por el personal.,The treatment received by the staff.,0.0,neutral,34,Nada. Todo perfecto.,"Noting, Everything is perfect. ",0.5719,positive,20,2022-08-29,2022,8,10.0,Wonderful,En familia,Habitación Doble Deluxe
Cristina,España,Excepcional,"La ubicación, muy céntrico. Habitación muy grande y lujosa en relación al precio pagado.","The location, very central. Very large and luxurious room in relation to the price paid.",0.0,neutral,88,Todo exceletente,All Exceptional,0.0,neutral,16,2022-08-29,2022,8,10.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Barbara,España,Perfecto!,"Camareros de 10! sobretodo Juan, muy atento 
y encantador. 
La comida espectacular, todo riquisimo!
Volveremos sin duda!!","Waiters of 10! especially Juan, very attentive 
and charming. 
The spectacular food, everything delicious!
We will definitely be back!!",0.9124,positive,121,,,,,0,2022-08-28,2022,8,10.0,Wonderful,En familia,Habitación Cuádruple Estándar
Oleas,España,Confortable,"La amplitud y limpieza de la habitación.
El desayuno y la amabilidad del personal.","The spaciousness and cleanliness of the room.
Breakfast and the kindness of the staff.",0.4588,positive,82,,,,,0,2022-08-28,2022,8,10.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Domingo,España,Comida excelente y pendiente de reforma la habitación,"Lo mejor con diferencia la media pensión, sobre todo la cena, a la carta y de gran calidad","The best by far the half board, especially dinner, à la carte and high quality",0.6369,positive,90,"La habitación necesitas una reforma, muebles y puertas un poco viejo","The room needs a refurbishment, furniture and doors a little old",0.0,neutral,68,2022-08-26,2022,8,8.0,Good,En pareja,Habitación Triple
Tomas,Chile,Excepcional,"Genial ,el trato y las instalaciones fabulosas.
Bien insonorizado para mayor confort nuestro. Muy contentos y agradecidos","Great ,the deal and the fabulous facilities.
Well soundproofed for our comfort. Very happy and grateful",0.9604,positive,121,,,,,0,2022-08-26,2022,8,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Alicia,España,nos ha encantado!!,"Nos gusto mucho el alojamiento, esta en el centro de Andorra.","We really liked the accommodation, it is in the center of Andorra.",0.4754,positive,61,"nos a tocado la Habitacion 505, el baño grande olia a tabaco  en la ducha.","we touched Room 505, the large bathroom smelled like tobacco  in the shower.",0.3612,positive,74,2022-08-26,2022,8,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Belen,España,Personal amable y bien situado.,Amplia y bien equipada la habitación familiar 2A+2N,Spacious and well-equipped 2A+2N family room,0.0,neutral,51,,,,,0,2022-08-25,2022,8,8.0,Good,En familia,Habitación Cuádruple Deluxe
David,España,Muy buen Hotel!,"habitaciones muy grandes
restaurante - cena
ubicación
fácil acceso","very large rooms
restaurant - dinner
location
easy access",0.4404,positive,66,nada a destacar,Highlights,0.0,neutral,15,2022-08-25,2022,8,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Aguilar,España,Agradable,Mui correctors l'ós dos,Mui correctors the bear two,0.0,neutral,23,"Mui Justo para pasar con si
lla de ruedas","Mui Just to pass with
his wheelie",0.0,neutral,41,2022-08-25,2022,8,8.0,Good,En familia,Habitación Triple
María,España,correcto,"El personal muy amable, a destacar Joao.","Very friendly staff, to highlight Joao.",0.7089,positive,40,La habitación con muebles y puertas antiguos,The room with antique furniture and doors,0.0,neutral,44,2022-08-24,2022,8,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Vicente,España,Perfecto. Repetiremos,El desayuno y la cena estupendo y el trato dl personal de hotel y comedor excelente.,Excellent breakfast and dinner and the treatment of the hotel and dining staff excellent.,0.8126,positive,84,No podíamos ver muchos canales de tv,I couldn't watch many TV channels.,0.0,neutral,36,2022-08-24,2022,8,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Galán,España,Dos noches en el hotel,"Lo que más nos gustó fue lo espaciosa de la habitación, la ducha de uno de los dos baños que tenia, la amabilidad del personal y la ubicación del hotel.","What we liked most was the spaciousness of the room, the shower in one of the two bathrooms it had, the friendliness of the staff and the location of the hotel.",0.7003,positive,152,"En las instalaciones del hotel no se puede llamar gimnasio a la habitación destinada al mismo, el precio del parking podria ser mas asequible, pero viendo la necesidad en la zona es comprensible, mejorar el desayuno con huevos fritos y tortitas, por ejemplo, aunque no está nada mal","In the facilities of the hotel you can not call gym to the room intended for the same, the price of parking could be more affordable, but seeing the need in the area is understandable, improve breakfast with fried eggs and pancakes, for example, although it is not bad",0.8236,positive,282,2022-08-22,2022,8,8.0,Good,En familia,Habitación Cuádruple Deluxe
Carmen,España,Supero mis expectativas,"Habitaciones muy limpias y amplias, desayuno muy rico !!","Very clean and spacious rooms, very rich breakfast!!",0.8161,positive,56,"Que estuviera el parking lleno, es de entender había mucha gente. ( Por poner algo.....)","That the parking lot was full, it is understandable that there were many people. ( To put something.....)",0.0,neutral,88,2022-08-22,2022,8,10.0,Wonderful,En familia,Habitación Triple
Iñaki,España,Fantástico,La habitación espectacular y la ubicación perfecta,The spectacular room and the perfect location,0.5719,positive,50,No encuentro nada negativo,I don't find anything negative,0.4585,positive,26,2022-08-22,2022,8,9.0,Wonderful,En grupo,Habitación Cuádruple Deluxe
Sergio,España,Fenomenal,"Buena ubicación cercana a la calle principal de Escaldes-Engordany y caminando un poco más a Caldea. Habitación muy amplia. Camas cómodas. Baño limpio y espacioso. El desayuno genial con variedad de comida, y fantástica la cena de la media pensión con un menú que ofrecía varios primeros, segundos y postres de calidad. El personal son muy amables y de gran ayuda con consejos para la estancia en Andorra. Sin duda volvería en una próxima estancia.","Good location close to the main street of Escaldes-Engordany and walking a little further to Caldea. Very spacious room. Comfortable beds. Clean and spacious bathroom. The great breakfast with variety of food, and fantastic dinner half board with a menu that offered several first, second and quality desserts. The staff are very friendly and helpful with tips for staying in Andorra. I would definitely come back for an upcoming stay.",0.9779,positive,448,"No habían plazas de aparcamiento libres en el parking del hotel, aunque muy cerca hay parkings públicos que están bien y vigilados, pero están a la intemperie y cuestan un poco más.
En la cena, las bebidas no iban incluidas en el precio de la medida pensión.","There were no free parking spaces in the hotel car park, although very close there are public car parks that are well and guarded, but they are outdoors and cost a little more.
At dinner, drinks were not included in the price of the pension measure.",0.2732,positive,258,2022-08-22,2022,8,9.0,Wonderful,Persona que viaja sola,Habitación Individual
Samuel,España,Fantástico,Atención personal y ubicacion,Personal attention and location,0.0,neutral,29,"Buffet te un poco escaso, pero con buen personal","Buffet you a bit scarce, but with good staff",0.5927,positive,48,2022-08-21,2022,8,9.0,Wonderful,En pareja,Habitación Triple
Eva,España,Genial,"Habitación espaciosa, camas súper cómodas, blanditas","Spacious room, super comfortable beds, soft",0.802,positive,52,"Tema parking, al lado mas abajo por 12€ puedes dejarlo","Theme parking, next door lower for 12€ you can leave it",-0.34,negative,54,2022-08-21,2022,8,10.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Isabel,España,Cómodo limpio y centrico,Dos baños y habitación espaciosa. Cama y almohada cómodas.,Two bathrooms and spacious room. Comfortable bed and pillow.,0.5106,positive,58,Las bisagras chirrían y se oye mucho el desagüe,The hinges squeak and you can hear the drain a lot,0.0,neutral,47,2022-08-20,2022,8,8.0,Good,En familia,Habitación Triple
Nuria,España,fenomenal,la habitación cuádruple,4 Person Room,0.0,neutral,23,poco parking,little parking,0.0,neutral,12,2022-08-20,2022,8,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Jesus,España,Unos dias estupendos,"Pese a ser muy centrico, por la noche la habitacion era super tranquila, con lo cual el descanso estaba asegurado.
El desayuno era muy completo, y en cuanto al aparcamiento, pese a que estaba todo ocupado, hay un parking publico al lado.
Lo mas destacable, la amabilidad de todo el personal.","Despite being very central, at night the room was super quiet, so rest was assured.
The breakfast was very complete, and as for the parking, although everything was busy, there is a public parking next to it.
Most importantly, the kindness of all the staff.",0.9104,positive,291,"Fue todo estupendo, pero por decir algo que debieran mejorar, alguna maquina del gim estaba averiada.","It was all great, but to say something they should improve, some gim machine was broken.",0.3071,positive,101,2022-08-19,2022,8,9.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Ruiz,España,Fantástico,En general todo.,"Everything, in general",0.0,neutral,16,,,,,0,2022-08-19,2022,8,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Kerry,España,temperaturas fantásticas en verano,limpio y moderno,CLEAN &amp;amp; MODERN,0.5319,positive,16,un poco pequeño la zona donde se ubicaban las literas,a little small the area where the bunk beds were located,0.0,neutral,53,2022-08-18,2022,8,8.0,Good,En familia,Habitación Cuádruple Deluxe
Sergio,España,genial,habitacion y ubicacion,room and location,0.0,neutral,22,,,,,0,2022-08-17,2022,8,10.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Ana,España,Muy bien,"El personal, limpieza y la cama.","The staff, cleaning and the bed.",0.0,neutral,32,Los huevos revueltos del desayuno.,Scrambled eggs for breakfast.,0.0,neutral,34,2022-08-16,2022,8,8.0,Good,En pareja,Habitación Doble Deluxe
Nuria,España,Fantástico,"Buena ubicación,cerca de la zona de tiendas","Good location,close to the shopping area",0.4404,positive,43,,,,,0,2022-08-16,2022,8,9.0,Wonderful,En grupo,Habitación Triple
Gines,España,Muy bien,"Desayuno bajo minimos. Sin reposicion, lento. 
Aparcamiento lleno, sin servicio.","Breakfast under minimum. No replenishment, slow. 
Parking is full, no service.",-0.5267,negative,80,La recepción es super lenta.,Reception is super slow.,0.5994,positive,28,2022-08-16,2022,8,8.0,Good,En pareja,Habitación Doble - 1 o 2 camas
Pere,España,Genial,Todo el personal excepcionalmente amable. Buen desayuno,All staff exceptionally friendly. Good breakfast,0.7698,positive,55,,,,,0,2022-08-15,2022,8,10.0,Wonderful,En familia,Habitación Triple
Joan,España,muy agradable.,"Lo amplia y grande que era la habitación, la limpieza de la misma y las camas muy cómodas.","How spacious and large the room was, the cleanliness of it and the very comfortable beds.",0.5563,positive,90,los costes de los suplementos (parking 18€ la noche),the costs of the surcharges (parking 18€ per night),0.0,neutral,52,2022-08-15,2022,8,8.0,Good,En pareja,Habitación Doble - 1 o 2 camas
Jordi,España,Muy bien,Que la habitación era muy espaciosa que,That the room was very spacious which,0.0,neutral,39,"Que para ser verano en la cama no existan sabanas  para ponerse, solo haya un funda con un nórdico que hace una calor impresionante, luego la mampara de la ducha  que no cubre demasiado queda el suelo y la puerta chorreando. La litera para un niño de 14 años es pequeña le salían los pies","That to be summer in bed there are no sheets  to put on, there is only a cover with a Nordic that makes an impressive heat, then the shower screen that does not cover too much is the floor and the door dripping. The bunk bed for a 14-year-old boy is small his feet were coming out",0.2732,positive,288,2022-08-14,2022,8,8.0,Good,En familia,Habitación Cuádruple Estándar
Jaime,España,Muy bien,"La amabilidad y la empatía de Joao creo que se llamaba.
Muy simpático también.","Joao's kindness and empathy I think was called.
Very nice too.",0.7264,positive,78,"Los muebles de la habitación era muy antiguos y gastados, la limpieza podía ser mejor.
La ventana de la habitación daba a la puerta principal y paraban continuamente coches y camiones a descochar y encochar con el consiguiente humo y ruido.","The furniture of the room was very old and worn, the cleaning could be better.
The window of the room faced the front door and cars and trucks were continually stopped to blaze and clink with the ensuing smoke and noise.",-0.1189,neutral,240,2022-08-14,2022,8,8.0,Good,En familia,Habitación Cuádruple Estándar
Jordi,España,Genial habitación para viajar en familia al centro de Andorra,la habitación muy bien y la ubicación genial,the room is great and the location great,0.8481,positive,44,el wifi no llega bien a algunas zonas de la habitación,wifi does not reach some areas of the room,-0.0191,neutral,54,2022-08-14,2022,8,9.0,Wonderful,En familia,Habitación Triple
Jose,España,Fantástico,todo genial,Everything great.,0.6249,positive,11,nada,nothing,0.0,neutral,4,2022-08-13,2022,8,9.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Paula,España,calidad precio ubicación buena,espacioso nuevo y parking cómodo con ascensor,spacious new and comfortable parking with elevator,0.5106,positive,45,todo bien,Everything is good,0.4404,positive,9,2022-08-12,2022,8,10.0,Wonderful,En familia,Habitación Triple
Maria,España,Repetiría,"La cercanía de todo, muchos parking cerca ( de pago)","The proximity of everything, lots of parking nearby ( for a fee)",0.0,neutral,52,"No tiene buenas vistas, pero es muy cómoda su ubicación.","It does not have good views, but its location is very comfortable.",0.6353,positive,56,2022-08-11,2022,8,10.0,Wonderful,En familia,Habitación Familiar
Juan,España,Fantástico,mucho,A lot.,0.0,neutral,5,nada,nothing,0.0,neutral,4,2022-08-09,2022,8,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Juani,España,Muy bien,habitación muy amplia,La habitación muy amplia.,0.0,neutral,21,que no tuviera opción de parking,i didn't have a parking option,0.0,neutral,32,2022-08-08,2022,8,8.0,Good,En familia,Habitación Cuádruple Estándar
Antonio,España,Excepcional,"La ubicacion para hacer compras en Andorra es ideal, y la calle donde esta es tranquila, el desayuno muy bueno y todo muy limpio, la habitacion familiar es muy amplia con dos baños","The location for shopping in Andorra is ideal, and the street where it is quiet, the breakfast very good and everything very clean, the family room is very spacious with two bathrooms",0.862,positive,180,,,,,0,2022-08-06,2022,8,10.0,Wonderful,En familia,Habitación Cuádruple Estándar
Susana,España,"Ideal para familias, buena ubicación","La habitación es muy amplia, ideal para familias y muy buena ubicación.","The room is very spacious, ideal for families and very good location.",0.7828,positive,71,Nada,Nothing,0.0,neutral,4,2022-08-05,2022,8,9.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Jsalasalamo,España,"Como siempre, un placer alojarse en este hotel.",La ubicación,Location,0.0,neutral,12,La presión de agua,Hydrostatic Pressure,-0.296,negative,18,2022-08-02,2022,8,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Luca,España,Grande y bien situado,"La habitación para 4 (2 adultos y 2 peques) era perfecta, grande con 2 zonas y 2 baños. Podría valer hasta para 5 porque además de la cama grande había 3 camas individuales.","The room for 4 (2 adults and 2 children) was perfect, large with 2 areas and 2 bathrooms. It could be worth up to 5 because in addition to the large bed there were 3 single beds.",0.6808,positive,173,Las puertas y los muebles son viejos.,Doors and furniture are old.,0.0,neutral,37,2022-08-02,2022,8,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Ataquito,España,Buen hotel y personal amable,"La ubicación, el personal y el desayuno.","The location, staff and breakfast.",0.0,neutral,40,,,,,0,2022-08-01,2022,8,8.0,Good,En grupo,Habitación Familiar
Marta,España,Comodidad,La comodidad de la habitación,The comfort of the room,0.3612,positive,29,"Que no había secador y en recepción nos dijeron que nos subían uno.
Cuando llegamos nos dijeron que teníamos que esperar hasta las 14h pero la habitación ya estaba lista.","That there was no dryer and at the reception they told us that they put one on us.
When we arrived we were told that we had to wait until 2pm but the room was already ready.",0.3919,positive,170,2022-07-31,2022,7,9.0,Wonderful,En familia,Habitación Cuádruple Estándar
Salvador,España,excelente hotel y muy bien situado.,ubicacion y aparcamiento,location and parking,0.0,neutral,24,,,,,0,2022-07-31,2022,7,9.0,Wonderful,En pareja,Habitación Doble - 1 o 2 camas
Josefina,España,Mini vacaciones Andorra,Desayuno correcto,Desayuno correcto.,0.0,neutral,17,,,,,0,2022-07-31,2022,7,8.0,Good,En familia,Habitación Familiar
Jovaque,España,Muy bien,"La ubicación perfecta para hacer compras en Andorra. El desayuno buffet està muy bien. Teníamos media pensión y la cena està muy bien, hay variedad de platos y la calidad excelente. El personal muy amable.","The perfect location for shopping in Andorra. The breakfast buffet is fine. We had half board and dinner is very good, there is a variety of dishes and excellent quality. Very friendly staff.",0.9421,positive,205,Nada que objetar.,No complaints here.,-0.5994,negative,17,2022-07-31,2022,7,8.0,Good,En familia,Habitación Cuádruple Estándar
Alejandro,España,Excelente hotel para familias,"Excelente habitación muy grande, cómoda y limpia. Camas muy cómodas. Variado y rico desayuno. Instalaciones bien cuidadas. Buena ubicación justo al lado de la calle de las tiendas en Andorra La Vella. Recomendable 100%. Dispone de parking propio a un precio razonable.","Excellent room very large, comfortable and clean. Very comfortable beds. Varied and rich breakfast. Well maintained facilities. Good location right next to the shopping street in Andorra La Vella. 100% recommended. It has its own parking at a reasonable price.",0.9718,positive,268,Nada,Nothing,0.0,neutral,4,2022-07-29,2022,7,10.0,Wonderful,En familia,Habitación Cuádruple Estándar
Angel,España,Muy bien,Habitación para dos adultos y dos niños excelente y cómoda. Desayuno muy bueno y variado.,Room for two adults and two children excellent and comfortable. Very good and varied breakfast.,0.8805,positive,89,,,,,0,2022-07-29,2022,7,8.0,Good,En familia,Habitación Cuádruple Estándar
Sergi,España,Nos hacen sentir como en casa,"todo en general, cada vez que estamos nos hacen sentir como en casa, amables, simpáticos etc… la comida perfecta, en general todo muy bien. Hemos estado un montón de veces y repetiremos seguro…","everything in general, every time we are make us feel at home, friendly, nice etc… the perfect food, in general everything is very good. We have been a lot of times and we will repeat for sure...",0.9168,positive,193,,,,,0,2022-07-29,2022,7,10.0,Wonderful,En familia,Habitación Triple
Maria,España,Muy bien,Desayuno fantástico,Fantastic breakfast,0.5574,positive,19,No tenia secador de pelo. Un hotel de 4 estrellas tiene de tener secador,I didn't have a hair dryer. A 4-star hotel has a hairdryer,0.0,neutral,72,2022-07-28,2022,7,8.0,Good,En familia,Habitación Triple
Zorraquino,España,Muy bien,Muy buena ubicación.,Great location,0.6249,positive,20,Que estaban en reformas.y estaban los ascensores muy sucios y olis mucho a pintura lo.podruan haber dicho.,That they were in renovations. and there were very dirty elevators and you smell a lot of paint.you may have said.,-0.4927,negative,106,2022-07-26,2022,7,8.0,Good,En grupo,Habitación Familiar
Eva,España,Volvemos seguro!!!,La habitación es muy espaciosa y tiene 2 baños. La situación inmejorable para recorrer la zona comercial si dispones de poco tiempo. Muy tranquilo por lo céntrico que està. Dispone de parking y nos permitieron dejar el coche después de hacer el check out sin coste adicional. El personal muy amable en general.,The room is very spacious and has 2 bathrooms. The unbeatable situation to tour the commercial area if you have little time. Very quiet because of how central it is. It has parking and they allowed us to leave the car after checking out at no extra cost. Very friendly staff in general.,0.2716,positive,310,"Desayuno un poco caro, pero hay una buena cafetería al lado a buen precio.","Breakfast is a bit expensive, but there is a good coffee shop next door at a good price.",0.8271,positive,74,2022-07-26,2022,7,9.0,Wonderful,En familia,Habitación Cuádruple Deluxe
Sara,España,Habitaciones amplias y limpias,Habitación enorme y muy limpia,Huge and very clean room,0.6478,positive,30,La ducha no tenía para sujetar la alcachofa de la ducha,The shower did not have to hold the shower head,0.0,neutral,55,2022-07-26,2022,7,10.0,Wonderful,En grupo,Habitación Doble - 1 o 2 camas
